epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7588,0.62482,1.92984,0.91,0.98964,0.85933,0.99114,0.84779,0.59294,1.5347,0.84686,0.000299557,0.000299557,0.000299557
2,158.599,0.62649,0.75583,0.91124,0.99659,0.99972,0.99403,0.85593,0.58395,0.49621,0.88026,0.000599574,0.000599574,0.000599574
3,231.408,0.62761,0.67083,0.91322,0.99747,1,0.99422,0.84709,0.57832,0.39755,0.89407,0.000896592,0.000896592,0.000896592
4,307.721,0.62493,0.58024,0.92256,0.99743,0.99958,0.99419,0.84868,0.57775,0.39119,0.89384,0.000895501,0.000895501,0.000895501
5,381.873,0.6109,0.50518,0.9147,0.99776,1,0.99433,0.85352,0.57269,0.3636,0.89775,0.000891002,0.000891002,0.000891002
6,448.604,0.60862,0.44832,0.92076,0.99569,0.99959,0.99475,0.86449,0.55344,0.33432,0.88458,0.000886502,0.000886502,0.000886502
7,516.542,0.60049,0.4181,0.91668,0.99759,1,0.99449,0.8645,0.55081,0.32326,0.88249,0.000882003,0.000882003,0.000882003
8,582.508,0.59774,0.39672,0.91776,0.99777,1,0.99444,0.87347,0.53212,0.30669,0.88526,0.000877503,0.000877503,0.000877503
9,649.42,0.5875,0.38105,0.91549,0.99682,1,0.9946,0.86988,0.54011,0.29793,0.87942,0.000873004,0.000873004,0.000873004
10,715.079,0.58369,0.36518,0.91823,0.99805,1,0.99382,0.87072,0.53589,0.29254,0.87879,0.000868504,0.000868504,0.000868504
11,780.952,0.57619,0.35872,0.91579,0.99798,1,0.99452,0.87291,0.53988,0.29596,0.88763,0.000864004,0.000864004,0.000864004
12,847.731,0.57937,0.35124,0.92093,0.99612,0.99792,0.99477,0.87509,0.53585,0.30466,0.87991,0.000859505,0.000859505,0.000859505
